식품군,식품명,에너지,단백질,지방 ,탄수화물,당류
,,kcal,g,g,g,g
곡류 및 그 제품,"칼국수면, 생것",303,7.25,0.87,63.02,1.56
곡류 및 그 제품,"칼국수면, 생것, 삶은것",140,3.49,0.43,28.96,0.71
곡류 및 그 제품,"칼국수면, 말린것",364,10.47,1.03,73.81,2.13
곡류 및 그 제품,"칼국수면, 말린것, 삶은것",120,3.59,0.41,23.99,0.28
곡류 및 그 제품,"빵, 건포도빵",263,8.2,3.5,51.1,-
곡류 및 그 제품,"빵, 곰보빵",415,9.5,14.54,61.44,17.01
곡류 및 그 제품,"빵, 꽈배기",320,6.17,13.8,42.78,8.48
곡류 및 그 제품,"빵, 난",257,10.3,3.4,47.6,-
곡류 및 그 제품,"빵, 도넛, 링",426,7.3,26,40.6,-
곡류 및 그 제품,"빵, 도넛, 팥",285,5.91,8.02,47.36,26.47
곡류 및 그 제품,"빵, 또띠아, 밀",303,8.25,6.89,52.1,2.29
곡류 및 그 제품,"빵, 또띠아, 통밀",295,9.32,8.64,44.94,1.32
곡류 및 그 제품,"빵, 롤빵, 소프트",309,10.1,9,48.6,6.4
곡류 및 그 제품,"빵, 롤빵, 하드",293,9.9,4.3,52.7,1.77
곡류 및 그 제품,"빵, 마늘빵",438,10.73,20.72,52.1,7.62
곡류 및 그 제품,"빵, 머핀",415,5.18,21.21,50.91,25.74
곡류 및 그 제품,"빵, 머핀, 우유",296,6.9,11.4,41.4,-
곡류 및 그 제품,"빵, 머핀, 잉글리쉬",255,7.89,4.54,45.6,1.22
곡류 및 그 제품,"빵, 머핀, 초코",422,5.87,23.35,47.06,29.73
곡류 및 그 제품,"빵, 모닝빵",316,9.06,4.91,58.99,11.33
곡류 및 그 제품,"빵, 모카빵",354,8.31,7.53,63.29,15.43
곡류 및 그 제품,"빵, 바게트",284,9.14,1.11,59.45,2.81
곡류 및 그 제품,"빵, 베이글",291,9.32,2.55,57.59,5.04
곡류 및 그 제품,"빵, 붕어빵, 팥",254,4.81,6.44,44.17,11.97
곡류 및 그 제품,"빵, 소시지빵",323,10.59,16.52,33,5.05
곡류 및 그 제품,"빵, 식빵, 버터 첨가",279,9.01,4.91,49.68,4.12
곡류 및 그 제품,"빵, 식빵, 쇼트닝 첨가",267,9.32,3.48,49.61,4.16
곡류 및 그 제품,"빵, 식빵, 쇼트닝 첨가, 구운것",287,9.83,3.7,53.6,4.12
곡류 및 그 제품,"빵, 식빵, 밤",285,6.62,5.46,52.42,21.32
곡류 및 그 제품,"빵, 식빵, 옥수수",270,9.44,3.42,50.45,5.32
곡류 및 그 제품,"빵, 식빵, 우유",284,9.05,6.15,48.14,7.88
곡류 및 그 제품,"빵, 옥수수빵",321,7.4,10.2,49.1,-
곡류 및 그 제품,"빵, 와플",291,7.9,14.1,32.9,-
곡류 및 그 제품,"빵, 와플, 벨기에",415,7.93,18,55.2,20.66
곡류 및 그 제품,"빵, 와플, 잼",279,-4.9,-4.2,-57.3,-36.4
곡류 및 그 제품,"빵, 와플, 커스터드 크림",241,-7.3,-7.9,-38.1,-15
곡류 및 그 제품,"빵, 잼빵",285,-5.3,-3.9,-58.1,-27.6
곡류 및 그 제품,"빵, 찐빵, 단호박, 막걸리 발효",239,5.4,0.9,52.4,-
곡류 및 그 제품,"빵, 찐빵, 채소",223,7.66,5.34,36.09,6.75
곡류 및 그 제품,"빵, 찐빵, 팥, 막걸리 발효",213,5.96,1.29,44.31,10.42
곡류 및 그 제품,"빵, 찐빵, 팥",266,7.06,1.96,54.92,19.08
곡류 및 그 제품,"빵, 찐빵, 피자",233,8.73,4.04,40.5,10.19
곡류 및 그 제품,"빵, 카스텔라",306,6.91,3.72,59.47,24.85
곡류 및 그 제품,"빵, 크루아상",457,8.56,26,47.22,8.55
곡류 및 그 제품,"빵, 크로켓, 채소",273,6.35,13.82,30.74,4.96
곡류 및 그 제품,"빵, 크림빵",379,8.67,14.28,54.05,15.28
곡류 및 그 제품,"빵, 팥빵",253,7.57,3.17,48.47,16.37
곡류 및 그 제품,"빵, 페이스트리",457,8.6,26.3,46.5,-
곡류 및 그 제품,"빵, 페이스트리, 과일",371,5.4,18.5,47.8,27.53
곡류 및 그 제품,"빵, 페이스트리, 치즈",374,8,21.9,37.2,6.95
곡류 및 그 제품,"빵, 피칸파이",407,4.5,16.69,59.61,25.18
곡류 및 그 제품,"빵, 호두과자",344,7.77,12.29,50.58,23.82
곡류 및 그 제품,"빵, 호떡빵",301,6.37,4.97,57.58,23.51
곡류 및 그 제품,"케이크, 과일(후르츠)",324,2.9,9.1,61.6,27.42
곡류 및 그 제품,"케이크, 롤 케이크",369,7.51,20.22,39.24,17.41
곡류 및 그 제품,"케이크, 생크림 블루베리",280,3.03,18.88,24.39,22.87
곡류 및 그 제품,"케이크, 스펀지 케이크",300,5.09,7.4,53.16,26.41
곡류 및 그 제품,"케이크, 엔젤푸드 케이크",258,5.9,0.8,57.8,-
